B,Ca43,Cd,Co,Cu,Fe,K,Li,Mg,Mn,Mo,Na,P,Rb,S,Sr,Zn
19.22568919,18024.6418,0.024789944,0.128357586,9.323762927,95.64321328,8421.321111,4.769617332,5347.099704,34.35194843,0.979618423,320.4722955,4321.206201,36.50055314,4664.444428,49.55039462,10.74892306
21.36636419,13939.35728,0.031404394,0.105605747,10.2011864,85.01164601,8953.087062,3.858556744,4398.286832,33.50632355,1.114948053,289.2124601,4951.420938,47.88474491,5455.0402,32.81485707,13.99453474
17.92147546,18231.16273,0.036605133,0.105850132,9.976820539,99.40641839,11027.94991,5.359473032,4937.661976,38.60335202,0.889591417,634.6609667,4955.978929,46.5009894,4708.085721,54.5508163,13.9224322
22.91922379,13884.20791,0.016711376,0.124382324,10.62438992,92.45327568,8270.44415,3.73183083,4725.489913,34.10211474,1.1401072,200.6327441,4984.464896,45.79886826,6011.270903,32.55185573,14.41659957
32.7822958,14115.52886,0.012389909,0.161880099,12.56714449,123.1152638,10365.19526,4.974193652,4464.190767,34.00372395,1.26467556,217.4943076,4656.962224,42.41535968,6650.457701,32.59290025,22.36131421
13.46409033,12984.86286,0.038300107,0.133692242,10.6471081,93.24815691,11277.3118,4.365715928,4763.867582,35.83374095,1.182953308,206.6769957,5352.077982,62.20751077,5640.937691,29.14723821,16.43075915
21.62694012,16531.3687,0.015601675,0.158124954,11.12614876,96.69183556,11423.78281,5.684082655,4562.591996,34.9485569,1.254449189,285.2026967,5410.325719,42.04878226,6242.536756,45.38521574,11.64934996
16.93611316,22151.15618,0.025666562,0.165490623,12.88699675,125.9188516,10709.50825,7.333980367,6357.228976,45.22731278,1.548626191,725.1320401,6775.582497,43.53678888,8709.531487,60.71931168,39.71293317
15.01594567,18736.89355,0.046803761,0.115042463,9.163170179,82.38708369,6500.992744,4.897650014,4883.591801,33.06454783,0.893491426,313.166029,3812.569418,29.79327187,5292.652707,53.18424168,10.97282876
26.99540813,16443.48369,0.021500286,0.10921455,10.73043826,87.23446989,7791.340904,4.775244479,4978.335624,38.52508926,1.209207412,233.9148146,5411.505493,39.85273419,5791.908226,44.54427022,11.18603934
28.21748197,22889.10457,0.039126498,0.237981419,10.92749231,110.0469933,10992.56869,9.060873503,5466.245485,45.59935805,1.122231673,397.9501672,5421.042989,48.92359202,8346.326317,63.25453821,12.97677828
22.15047462,11180.24975,0.01182262,0.106806097,8.987239002,82.57744437,11128.2376,3.614967475,4558.174876,32.04301393,1.130286678,188.8342965,4549.770395,61.69650678,3137.923283,24.90190973,15.88705515
24.87593258,13698.98121,0.020587517,0.202174783,12.00146507,100.2117018,13150.39128,6.361256582,4472.087329,44.0846714,1.275563993,214.1311695,6574.062985,75.72826481,5788.069493,31.90533758,17.77738982
25.19204648,11580.33259,0.018854022,0.121031893,10.42517247,69.19367376,8995.681413,2.473424892,4277.213454,32.86958124,0.98206181,175.5195723,5091.46074,54.5577452,4115.292272,23.79930407,21.88694198
16.89659723,16914.0204,0.042051356,0.188138298,10.09468849,98.65524327,10141.30698,7.777034807,5290.381412,46.66348123,1.291753214,347.3278968,4998.738573,49.76851973,5368.931793,44.9073231,14.61117938
17.97500788,11159.76298,0.013006941,0.108499958,8.298279552,76.67052342,8260.733243,3.838288698,4320.963569,29.82456698,1.043278872,189.3163827,4246.373573,44.57306347,3069.58563,25.97217663,11.07284629
27.79909763,17667.60436,0.0325856,0.10858973,9.678427518,85.16941193,7423.03757,4.902926412,5064.855965,36.41633473,0.867812626,430.8408305,4635.872594,31.0051046,3148.979545,51.96020317,9.181333119
55.23344881,21758.65423,0.033349128,0.179285498,13.29708112,133.0740564,11557.62499,7.538635598,6272.106895,44.96046924,1.548562187,759.343941,6971.50307,44.54957292,8609.860357,56.36020658,26.08630004
34.49378741,22240.4706,0.047167283,0.123512454,12.37014581,108.1686547,10449.96744,8.914453484,6821.998877,55.50838977,1.388744817,701.6215541,7680.284979,44.78112159,5776.067167,60.69783882,11.48757484
20.82425865,29425.37824,0.035489122,0.163848406,11.63861191,122.6687675,11049.69077,10.96125342,6056.180264,56.21870979,1.180667112,561.3467298,5738.408433,46.38505862,9830.284633,83.04366391,9.96781669
18.92860998,15667.06561,0.017767374,0.169277068,12.93363962,123.1700556,13768.54962,4.356388442,4672.470578,47.22577446,1.66586808,303.9559961,6879.951074,73.90408561,7515.028145,37.26377479,16.15589805
21.63275689,19849.28884,0.027408916,0.096286373,8.82695755,86.10180166,7656.716552,4.681629296,5059.235565,35.21743962,0.871598777,468.5064893,4646.441692,32.4767334,5322.084262,59.38921956,10.24571328
20.75546635,12919.9667,0.022356623,0.143450777,9.705420635,82.7557928,10950.5438,4.477435052,3937.447931,34.53070768,1.12950884,215.7361757,4069.289229,48.37202173,5762.920507,29.86903213,14.04145687
23.59840557,23313.62368,0.047608579,0.165888131,13.67935282,132.096767,12636.11129,7.639658306,6554.216377,47.58341412,1.636421815,822.4888118,8021.821275,47.22468624,8588.47422,65.73320093,17.02099463
